id,date,city,country,pax,type,agent_id,channel,status,revenue,profit,nights
TRV-10162,2025-10-01,לרנקה,קפריסין,6,חבילה,4111,אתר,שולם,13188,2302,11
TRV-10345,2025-10-01,טביליסי,גאורגיה,1,מלון בלבד,8411,אתר,שולם,1460,228,6
TRV-10451,2025-10-01,אמסטרדם,הולנד,4,טיסה בלבד,4111,וואטסאפ,בוטל,4292,734,4
TRV-10004,2025-10-03,אמסטרדם,הולנד,1,מלון בלבד,8411,וואטסאפ,שולם,1277,270,8
TRV-10653,2025-10-03,פראג,צ'כיה,2,חבילה,8402,טלפון,שולם,6384,1262,11
TRV-10479,2025-10-04,דובאי,איחוד האמירויות,2,קרוז,8402,אתר,שולם,6582,1433,8
TRV-10574,2025-10-04,דובאי,איחוד האמירויות,2,קרוז,8411,אתר,ממתין לתשלום,9126,1842,8
TRV-10606,2025-10-04,ניו יורק,"ארה""ב",5,קרוז,4025,אתר,שולם,14620,1529,6
TRV-10338,2025-10-05,בנגקוק,תאילנד,4,טיול מודרך,4025,אתר,שולם,22200,2823,9
TRV-10008,2025-10-06,פריז,צרפת,2,קרוז,8629,מטא Ads,שולם,6226,922,5
TRV-10216,2025-10-06,לונדון,בריטניה,1,חבילה,4111,וואטסאפ,שולם,2938,324,9
TRV-10415,2025-10-06,לרנקה,קפריסין,2,מלון בלבד,8411,וואטסאפ,שולם,2014,264,4
TRV-10503,2025-10-06,ניו יורק,"ארה""ב",3,חבילה,8629,וואטסאפ,שולם,8355,1476,5
TRV-10053,2025-10-07,אמסטרדם,הולנד,3,טיסה בלבד,9320,מטא Ads,שולם,2478,461,12
TRV-10541,2025-10-07,פראג,צ'כיה,2,חבילה,4111,וואטסאפ,שולם,3934,384,6
TRV-10021,2025-10-08,פראג,צ'כיה,3,קרוז,4025,אתר,שולם,12024,1208,7
TRV-10105,2025-10-08,טביליסי,גאורגיה,2,מלון בלבד,4111,וואטסאפ,ממתין לתשלום,3452,607,7
TRV-10386,2025-10-08,ניו יורק,"ארה""ב",4,טיסה בלבד,8629,אתר,ממתין לתשלום,3316,705,8
TRV-10315,2025-10-09,דובאי,איחוד האמירויות,2,טיול מודרך,8411,טלפון,שולם,7478,831,11
TRV-10447,2025-10-09,בנגקוק,תאילנד,1,קרוז,8629,אתר,שולם,3060,505,6
TRV-10711,2025-10-09,טביליסי,גאורגיה,5,חבילה,8411,מטא Ads,בוטל,14985,3027,6
TRV-10175,2025-10-10,אתונה,יוון,2,טיסה בלבד,8411,טלפון,שולם,1760,232,8
TRV-10625,2025-10-10,דובאי,איחוד האמירויות,2,טיול מודרך,8402,אתר,שולם,9974,2177,11
TRV-10680,2025-10-10,טביליסי,גאורגיה,3,חבילה,8402,וואטסאפ,שולם,9207,1871,7
TRV-10690,2025-10-11,אמסטרדם,הולנד,1,טיסה בלבד,8629,טלפון,שולם,1203,189,5
TRV-10719,2025-10-11,אתונה,יוון,1,טיסה בלבד,4025,וואטסאפ,שולם,1097,228,7
TRV-10044,2025-10-12,פריז,צרפת,2,טיסה בלבד,8629,וואטסאפ,שולם,1454,268,4
TRV-10302,2025-10-12,אתונה,יוון,4,מלון בלבד,4025,סוכן משנה,שולם,5488,613,10
TRV-10624,2025-10-12,אתונה,יוון,2,מלון בלבד,9320,מטא Ads,שולם,2776,582,10
TRV-10212,2025-10-13,רומא,איטליה,2,טיול מודרך,8411,אתר,בוטל,9550,1823,11
TRV-10484,2025-10-13,ברצלונה,ספרד,5,מלון בלבד,4025,אתר,שולם,6235,1156,11
TRV-10064,2025-10-14,פריז,צרפת,4,טיול מודרך,9320,אתר,שולם,13576,2554,8
TRV-10626,2025-10-14,פראג,צ'כיה,4,טיול מודרך,8411,טלפון,שולם,23112,4819,8
TRV-10527,2025-10-15,אתונה,יוון,3,טיול מודרך,4111,סוכן משנה,שולם,17262,3669,5
